HolderAddress,Balance,PendingBalanceUpdate
0xda4ef8520b1a57d7d63f1e249606d1a459698876,43342472.6177744,No
0x99f4176ee457afedffcb1839c7ab7a030a5e4a92,36518510.4330392,No
0x5fd79d46eba7f351fe49bff9e87cdea6c821ef9f,36111779.6703815,No
0x8ca24021e3ee3b5c241bbfcee0712554d7dc38a1,11985466.1715365,No
0x27cc4d6bc95b55a3a981bf1f1c7261cda7bb0931,5739607.54442752,No
0x767ecb395def19ab8d1b2fcc89b3ddfbed28fd6b,5305971.40632829,No
0xf977814e90da44bfa03b6295a0616a897441acec,5055845.04769196,No
0x85e51829c421f2cab7282dfd8da96fd197b4c94e,3845760.4329169,No
0xc8c2b727d864cc75199f5118f0943d2087fb543b,3398612.66019812,No
0x0d0452f487d1edc869d1488ae984590ca2900d2f,3304614.54631416,No
0xe7178db9e123f053aabfd2c28520bf6b63cb4a47,2778377.15711208,No
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2231445.89349809,No
0xccc2a5a7911e26be3861a806f7426475dd23e9e8,2192580.81,No
0x629b1166064abc68a4ea392e37cd4133103d7516,1751295.21857537,No
0x2ee555c9006a9dc4674f01e0d4dfc58e013708f0,1496456.3331238,No
0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,1487336.46721172,No
0xc719fa9d2c4727e1bbb2f2941cfb1cffa24f23db,1471002.75712662,No
0x9b7a6e6b894e243e994cfaa32ea07d8a60740981,1429100.66081448,No
0x885f3a936698b2dd7909caa673bbadf7dfc26fe2,1390486.90933027,No
0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,1362413.7802628,No
0xcc261ab4be137eacf57c19ed97c186b4d88004ca,1200010,No
0x35f6b052c598d933d69a4eec4d04c73a191fe6c2,1180480.1255366,No
0x042ed37d32b88ab6b1c2e7b8a400dcdc728050bc,1129529.97474036,No
0x7adc5defa1d360f50e698cda6f509d31284b2684,1067786.45734811,No
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,1066273.56872112,No
0x2bde3b9c0129be4689e245ba689b9b0ae4ac666d,1037302.9767749,No
0xd939611c3ca425b4f6d4a82591eab3da43c2f4a0,1029880.06893346,No
0x06517e034ce7bda386840ce9e5a02c3c53b47220,1005713.71256533,No
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,1000000,No
0xf0890c84f9849373edd603859ca98b0ba7f2c286,979406.404227454,No
0xba12222222228d8ba445958a75a0704d566bf2c8,928924.014558574,No
0xe93381fb4c4f14bda253907b18fad305d799241a,919338.029803841,No
0x43921eb2e5c78d9e887d3ecd4620a3bd606f4f95,893400.729197209,No
0x7113fbdc1c6ef083a72ba152b446b10654e4e05e,873170.573318161,No
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,841474.901214793,No
0x28c6c06298d514db089934071355e5743bf21d60,794258.029296836,No
0xc9a62e09834cedcff8c136f33d0ae3406aea66bd,793913.628647523,No
0x028095ce112f2cb8648419bf6ee86535a3a98d44,781069.128063443,No
0x971e78e0C92392A4E39099835cF7E6aB535b2227,724693.30192822,No
0xb0536a57a8d8f5327c62d0fecba23c5a27b5118b,636562.090641239,No
0xee98e1159ecee96803c88730d7c9cc7555c51191,625000,No
0x9f320ac9c644c9c36bb81f35cea0870419752d0b,600469.490008066,No
0xa25a9b7c73158b3b34215925796ce6aa8100c13a,595198.227390068,No
0x47139cbec96ff8e2d06e0595f966827e400492c3,594212.55,No
0xd6216fc19db775df9774a6e33526131da7d19a2c,591458,No
0xb5a9621b0397bfc5b45896cae5998b6111bcdce6,581425.675364352,No
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,566561,No
0x5f65f7b609678448494de4c87521cdf6cef1e932,545589.286537067,No
0x0e460979a572a13f418a1e4a0a34c20f52f0b9f0,490980.290678931,No
0x289ac8d004ac36979472d598226ab627aa18f26c,490980.290678931,No
